date,time,amazonID,exp_condition,isLeftRisky,indivOrGroup,groupSize,room,confirmationID,subjectNumber,round,gameRound,gameType,behaviouralType,choice,num_choice,payoff,didShare,info_share_cost,totalEarning,timeElapsed,latency
2021-6-9,12:0:19,INHOUSETEST3,binary,false,1,2,NtPKonx_session_0,xtE-MtNZDAbbKjxVAAAG,1,2,0,1,choice,risky,,48,,,201,18251,0
2021-6-9,12:0:21,INHOUSETEST3,binary,false,1,2,NtPKonx_session_0,xtE-MtNZDAbbKjxVAAAG,1,2,0,1,info-sharing,,1,48,1,2,46,20212,0
2021-6-9,12:0:22,INHOUSETEST3,binary,false,1,2,NtPKonx_session_0,xtE-MtNZDAbbKjxVAAAG,1,3,0,1,choice,sure,,137,,,336,22032,0
2021-6-9,12:0:25,INHOUSETEST3,binary,false,1,2,NtPKonx_session_0,xtE-MtNZDAbbKjxVAAAG,1,3,0,1,info-sharing,,2,137,0,95,137,24615,0
2021-6-9,12:0:25,INHOUSETEST3,binary,false,1,2,NtPKonx_session_0,Jtj4KHA0WUKUdRPuAAAH,2,3,0,1,choice,sure,,145,,,303,24615,0
2021-6-9,12:0:27,INHOUSETEST3,binary,false,1,2,NtPKonx_session_0,Jtj4KHA0WUKUdRPuAAAH,2,3,0,1,info-sharing,,2,145,0,77,145,26217,0
2021-6-9,12:0:28,INHOUSETEST3,binary,false,1,2,NtPKonx_session_0,Jtj4KHA0WUKUdRPuAAAH,2,4,0,1,choice,risky,,38,,,341,27511,0
2021-6-9,12:0:29,INHOUSETEST3,binary,false,1,2,NtPKonx_session_0,Jtj4KHA0WUKUdRPuAAAH,2,4,0,1,info-sharing,,1,38,0,49,38,29050,0
2021-6-9,12:0:32,INHOUSETEST3,binary,false,1,2,NtPKonx_session_0,xtE-MtNZDAbbKjxVAAAG,1,4,0,1,choice,risky,,73,,,409,31674,0
2021-6-9,12:0:34,INHOUSETEST3,binary,false,1,2,NtPKonx_session_0,xtE-MtNZDAbbKjxVAAAG,1,4,0,1,info-sharing,,1,73,0,86,73,33228,0
2021-6-9,12:0:44,INHOUSETEST3,binary,false,1,2,NtPKonx_session_0,xtE-MtNZDAbbKjxVAAAG,1,1,1,3,choice,sure,,140,,,476,8062,0
2021-6-9,12:0:47,INHOUSETEST3,binary,false,1,2,NtPKonx_session_0,xtE-MtNZDAbbKjxVAAAG,1,1,1,3,info-sharing,,2,140,0,55,140,10387,0
2021-6-9,12:0:48,INHOUSETEST3,binary,false,1,2,NtPKonx_session_0,Jtj4KHA0WUKUdRPuAAAH,2,1,1,3,choice,risky,,209,,,512,11640,0
2021-6-9,12:0:50,INHOUSETEST3,binary,false,1,2,NtPKonx_session_0,Jtj4KHA0WUKUdRPuAAAH,2,1,1,3,info-sharing,,1,209,1,29,180,13599,0
2021-6-9,12:0:51,INHOUSETEST3,binary,false,1,2,NtPKonx_session_0,Jtj4KHA0WUKUdRPuAAAH,2,2,1,3,choice,risky,,194,,,677,14575,0
2021-6-9,12:0:52,INHOUSETEST3,binary,false,1,2,NtPKonx_session_0,Jtj4KHA0WUKUdRPuAAAH,2,2,1,3,info-sharing,,1,194,1,13,181,16043,0
2021-6-9,12:0:54,INHOUSETEST3,binary,false,1,2,NtPKonx_session_0,xtE-MtNZDAbbKjxVAAAG,1,2,1,3,choice,risky,,199,,,675,17720,0
2021-6-9,12:0:56,INHOUSETEST3,binary,false,1,2,NtPKonx_session_0,xtE-MtNZDAbbKjxVAAAG,1,2,1,3,info-sharing,,1,199,1,40,159,19854,0
2021-6-9,12:0:57,INHOUSETEST3,binary,false,1,2,NtPKonx_session_0,xtE-MtNZDAbbKjxVAAAG,1,3,1,3,choice,risky,,187,,,822,20869,0
2021-6-9,12:0:59,INHOUSETEST3,binary,false,1,2,NtPKonx_session_0,xtE-MtNZDAbbKjxVAAAG,1,3,1,3,info-sharing,,1,187,0,39,187,22642,0
2021-6-9,12:1:0,INHOUSETEST3,binary,false,1,2,NtPKonx_session_0,Jtj4KHA0WUKUdRPuAAAH,2,3,1,3,choice,risky,,204,,,868,23683,0
2021-6-9,12:1:2,INHOUSETEST3,binary,false,1,2,NtPKonx_session_0,Jtj4KHA0WUKUdRPuAAAH,2,3,1,3,info-sharing,,1,204,0,12,204,25788,0
2021-6-9,12:1:3,INHOUSETEST3,binary,false,1,2,NtPKonx_session_0,Jtj4KHA0WUKUdRPuAAAH,2,4,1,3,choice,sure,,131,,,999,26734,0
2021-6-9,12:1:4,INHOUSETEST3,binary,false,1,2,NtPKonx_session_0,Jtj4KHA0WUKUdRPuAAAH,2,4,1,3,info-sharing,,2,131,0,55,131,28305,0
2021-6-9,12:1:5,INHOUSETEST3,binary,false,1,2,NtPKonx_session_0,xtE-MtNZDAbbKjxVAAAG,1,4,1,3,choice,sure,,162,,,984,28792,0
2021-6-9,12:1:6,INHOUSETEST3,binary,false,1,2,NtPKonx_session_0,xtE-MtNZDAbbKjxVAAAG,1,4,1,3,info-sharing,,2,162,0,47,162,30326,0
2021-6-9,12:1:16,INHOUSETEST3,binary,false,1,2,NtPKonx_session_0,xtE-MtNZDAbbKjxVAAAG,1,1,2,2,choice,sure,,151,,,973,7484,0
2021-6-9,12:1:18,INHOUSETEST3,binary,false,1,2,NtPKonx_session_0,Jtj4KHA0WUKUdRPuAAAH,2,1,2,2,choice,risky,,58,,,926,9332,0
2021-6-9,12:1:20,INHOUSETEST3,binary,false,1,2,NtPKonx_session_0,Jtj4KHA0WUKUdRPuAAAH,2,1,2,2,info-sharing,,1,58,1,19,39,10856,0
2021-6-9,12:1:22,INHOUSETEST3,binary,false,1,2,NtPKonx_session_0,xtE-MtNZDAbbKjxVAAAG,1,1,2,2,info-sharing,,2,151,1,58,93,13284,0
2021-6-9,12:1:23,INHOUSETEST3,binary,false,1,2,NtPKonx_session_0,xtE-MtNZDAbbKjxVAAAG,1,2,2,2,choice,sure,,136,,,1051,14778,0
2021-6-9,12:1:25,INHOUSETEST3,binary,false,1,2,NtPKonx_session_0,xtE-MtNZDAbbKjxVAAAG,1,2,2,2,info-sharing,,2,136,0,45,136,16228,0
2021-6-9,12:1:26,INHOUSETEST3,binary,false,1,2,NtPKonx_session_0,Jtj4KHA0WUKUdRPuAAAH,2,2,2,2,choice,sure,,148,,,1055,17535,0
2021-6-9,12:1:28,INHOUSETEST3,binary,false,1,2,NtPKonx_session_0,Jtj4KHA0WUKUdRPuAAAH,2,2,2,2,info-sharing,,2,148,0,36,148,19232,0
2021-6-9,12:1:29,INHOUSETEST3,binary,false,1,2,NtPKonx_session_0,Jtj4KHA0WUKUdRPuAAAH,2,3,2,2,choice,risky,,53,,,1108,20104,0
2021-6-9,12:1:31,INHOUSETEST3,binary,false,1,2,NtPKonx_session_0,Jtj4KHA0WUKUdRPuAAAH,2,3,2,2,info-sharing,,1,53,0,98,53,22183,0
2021-6-9,12:1:32,INHOUSETEST3,binary,false,1,2,NtPKonx_session_0,xtE-MtNZDAbbKjxVAAAG,1,3,2,2,choice,risky,,56,,,1107,23643,0
2021-6-9,12:1:34,INHOUSETEST3,binary,false,1,2,NtPKonx_session_0,xtE-MtNZDAbbKjxVAAAG,1,3,2,2,info-sharing,,1,56,0,20,56,25264,0
2021-6-9,12:1:35,INHOUSETEST3,binary,false,1,2,NtPKonx_session_0,xtE-MtNZDAbbKjxVAAAG,1,4,2,2,choice,risky,,46,,,1153,26194,0
2021-6-9,12:1:36,INHOUSETEST3,binary,false,1,2,NtPKonx_session_0,xtE-MtNZDAbbKjxVAAAG,1,4,2,2,info-sharing,,1,46,0,40,46,27749,0
2021-6-9,12:1:38,INHOUSETEST3,binary,false,1,2,NtPKonx_session_0,Jtj4KHA0WUKUdRPuAAAH,2,4,2,2,choice,risky,,509,,,1617,29374,0
2021-6-9,12:1:40,INHOUSETEST3,binary,false,1,2,NtPKonx_session_0,Jtj4KHA0WUKUdRPuAAAH,2,4,2,2,info-sharing,,1,509,0,15,509,30960,0
2021-6-9,12:1:50,INHOUSETEST3,binary,false,1,2,NtPKonx_session_0,xtE-MtNZDAbbKjxVAAAG,1,1,3,4,choice,risky,,187,,,1294,7443,0
2021-6-9,12:1:51,INHOUSETEST3,binary,false,1,2,NtPKonx_session_0,Jtj4KHA0WUKUdRPuAAAH,2,1,3,4,choice,sure,,149,,,1257,9084,0
2021-6-9,12:1:53,INHOUSETEST3,binary,false,1,2,NtPKonx_session_0,Jtj4KHA0WUKUdRPuAAAH,2,1,3,4,info-sharing,,1,149,0,5,149,10793,0
2021-6-9,12:1:55,INHOUSETEST3,binary,false,1,2,NtPKonx_session_0,xtE-MtNZDAbbKjxVAAAG,1,1,3,4,info-sharing,,2,187,1,85,102,13124,0
2021-6-9,12:1:56,INHOUSETEST3,binary,false,1,2,NtPKonx_session_0,xtE-MtNZDAbbKjxVAAAG,1,2,3,4,choice,risky,,172,,,1381,14156,0
2021-6-9,12:1:58,INHOUSETEST3,binary,false,1,2,NtPKonx_session_0,Jtj4KHA0WUKUdRPuAAAH,2,2,3,4,choice,risky,,171,,,1428,15864,0
2021-6-9,12:2:0,INHOUSETEST3,binary,false,1,2,NtPKonx_session_0,Jtj4KHA0WUKUdRPuAAAH,2,2,3,4,info-sharing,,2,171,0,26,171,17502,0
2021-6-9,12:2:1,INHOUSETEST3,binary,false,1,2,NtPKonx_session_0,xtE-MtNZDAbbKjxVAAAG,1,2,3,4,info-sharing,,2,172,1,40,132,19011,0
2021-6-9,12:2:2,INHOUSETEST3,binary,false,1,2,NtPKonx_session_0,xtE-MtNZDAbbKjxVAAAG,1,3,3,4,choice,sure,,139,,,1480,19960,0
2021-6-9,12:2:4,INHOUSETEST3,binary,false,1,2,NtPKonx_session_0,xtE-MtNZDAbbKjxVAAAG,1,3,3,4,info-sharing,,1,139,0,64,139,22006,0
2021-6-9,12:2:6,INHOUSETEST3,binary,false,1,2,NtPKonx_session_0,Jtj4KHA0WUKUdRPuAAAH,2,3,3,4,choice,sure,,139,,,1567,23830,0
2021-6-9,12:2:8,INHOUSETEST3,binary,false,1,2,NtPKonx_session_0,Jtj4KHA0WUKUdRPuAAAH,2,3,3,4,info-sharing,,1,139,0,71,139,25548,0
2021-6-9,12:2:9,INHOUSETEST3,binary,false,1,2,NtPKonx_session_0,Jtj4KHA0WUKUdRPuAAAH,2,4,3,4,choice,risky,,176,,,1743,26729,0
2021-6-9,12:2:10,INHOUSETEST3,binary,false,1,2,NtPKonx_session_0,Jtj4KHA0WUKUdRPuAAAH,2,4,3,4,info-sharing,,2,176,0,26,176,28285,0
2021-6-9,12:2:12,INHOUSETEST3,binary,false,1,2,NtPKonx_session_0,xtE-MtNZDAbbKjxVAAAG,1,4,3,4,choice,sure,,164,,,1644,29665,0
2021-6-9,12:2:14,INHOUSETEST3,binary,false,1,2,NtPKonx_session_0,xtE-MtNZDAbbKjxVAAAG,1,4,3,4,info-sharing,,1,164,0,43,164,31388,0
2021-6-9,13:11:11,INHOUSETEST3,binary,false,1,0,TWsxjHV_session_4,otNusnj2NDIiFuF0AAAM,1,1,0,3,choice,miss,,0,,,0,108752,0
2021-6-9,13:11:12,INHOUSETEST3,binary,false,1,0,TWsxjHV_session_4,otNusnj2NDIiFuF0AAAM,1,1,0,3,info-sharing,,-1,0,0,1,0,110254,0
2021-6-9,13:11:28,INHOUSETEST3,binary,false,1,0,TWsxjHV_session_4,otNusnj2NDIiFuF0AAAM,1,2,0,3,choice,miss,,0,,,0,126294,0
2021-6-9,13:11:30,INHOUSETEST3,binary,false,1,0,TWsxjHV_session_4,otNusnj2NDIiFuF0AAAM,1,2,0,3,info-sharing,,-1,0,0,88,0,127808,0
